* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:35:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SBWOOFER_SCIANA
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
156.372059, 62.218, 102.1934
156.738270, 62.805, 110.0781
157.104481, 63.914, 113.3979
157.470692, 64.900, 112.1880
157.836903, 65.445, 108.6277
158.203114, 65.479, 105.0693
158.569325, 65.119, 103.8462
158.935536, 64.758, 106.7026
159.301746, 64.989, 112.3521
159.667957, 65.921, 116.0583
160.034168, 66.975, 115.3201
160.400379, 67.627, 111.7271
160.766590, 67.725, 108.4236
161.132801, 67.507, 108.6084
161.499012, 67.658, 113.1597
161.865223, 68.686, 117.4612
162.231434, 70.093, 116.7144
162.597645, 71.137, 111.7417
162.963856, 71.508, 106.2344
163.330066, 71.369, 104.6912
163.696277, 71.627, 110.0547
164.062488, 73.376, 116.1914
164.428699, 75.985, 113.9592
164.794910, 78.341, 103.6340
165.161121, 80.055, 88.5254
165.527332, 81.081, 70.8811
165.893543, 81.437, 52.0327
166.259754, 81.125, 32.9062
166.625965, 80.117, 14.3745
166.992176, 78.339, -2.3762
167.358386, 75.686, -15.1274
167.724597, 72.221, -18.9153
168.090808, 69.312, -6.5684
168.457019, 69.487, 9.5405
168.823230, 70.855, 11.2224
169.189441, 71.542, 4.1829
169.555652, 71.381, -5.4778
169.921863, 70.533, -14.9688
170.288074, 69.146, -23.1406
170.654285, 67.248, -29.7214
171.020496, 64.575, -34.1746
171.386706, 60.342, -31.6355
171.752917, 55.102, 7.2715
172.119128, 59.862, 54.3926
172.485339, 64.730, 56.0630
172.851550, 67.540, 47.1143
173.217761, 69.074, 35.5671
173.583972, 69.721, 23.9053
173.950183, 69.707, 13.5344
174.316394, 69.228, 5.5640
174.682605, 68.528, 0.7847
175.048816, 67.906, -0.8501
175.415026, 67.609, -0.7134
175.781237, 67.658, -0.8132
176.147448, 67.883, -2.3560
176.513659, 68.100, -5.4004
176.879870, 68.201, -9.4443
177.246081, 68.150, -13.8862
177.612292, 67.957, -18.2000
177.978503, 67.671, -22.0300
178.344714, 67.351, -25.3013
178.710925, 67.041, -28.2217
179.077136, 66.730, -31.0457
179.443346, 66.372, -33.7156
179.809557, 65.957, -35.7412
180.175768, 65.569, -36.5710
180.541979, 65.381, -36.3936
180.908190, 65.491, -36.5664
181.274401, 65.770, -38.5874
181.640612, 65.949, -42.6689
182.006823, 65.818, -47.5950
182.373034, 65.345, -51.2529
182.739245, 64.800, -51.4114
183.105455, 64.798, -48.0928
183.471666, 65.717, -45.8799
183.837877, 67.103, -49.0955
184.204088, 68.331, -57.6475
184.570299, 69.104, -69.6299
184.936510, 69.335, -83.3071
185.302721, 69.015, -97.2966
185.668932, 68.170, -110.3105
186.035143, 66.879, -120.9277
186.401354, 65.352, -127.6697
186.767565, 64.001, -130.0295
187.133775, 63.236, -130.2292
187.499986, 62.973, -131.9087
187.866197, 62.753, -136.2034
188.232408, 62.251, -141.5635
188.598619, 61.435, -145.5974
188.964830, 60.566, -146.4133
189.331041, 60.091, -144.2903
189.697252, 60.198, -142.1062
190.063463, 60.600, -141.9348
190.429674, 60.993, -143.0271
190.795885, 61.397, -143.6978
191.162095, 62.080, -143.6919
191.528306, 63.206, -144.9443
191.894517, 64.578, -149.5110
192.260728, 65.861, -157.6360
192.626939, 66.828, -168.3135
192.993150, 67.380, 179.7000
193.359361, 67.488, 167.5383
193.725572, 67.163, 156.2559
194.091783, 66.449, 146.9536
194.457994, 65.456, 140.8760
194.824205, 64.425, 139.2563
195.190415, 63.798, 142.3555
195.556626, 64.035, 147.7708
195.922837, 65.155, 151.2131
196.289048, 66.727, 150.1926
196.655259, 68.337, 144.7695
197.021470, 69.751, 135.9458
197.387681, 70.857, 124.7561
197.753892, 71.610, 112.0830
198.120103, 71.996, 98.6843
198.486314, 72.022, 85.2432
198.852525, 71.722, 72.3960
199.218735, 71.158, 60.7021
199.584946, 70.433, 50.5076
199.951157, 69.671, 41.7075
200.317368, 68.960, 33.6187
200.683579, 68.280, 25.2822
201.049790, 67.500, 16.0984
201.416001, 66.436, 6.2327
201.782212, 64.910, -3.2874
202.148423, 62.797, -10.2917
202.514634, 60.213, -10.6257
202.880845, 58.263, 0.1257
203.247055, 58.642, 13.0132
203.613266, 60.218, 14.3010
203.979477, 61.414, 6.0383
204.345688, 61.851, -7.2180
204.711899, 61.500, -23.0703
205.078110, 60.333, -40.3096
205.444321, 58.241, -58.1577
205.810532, 54.944, -75.7925
206.176743, 49.705, -91.4612
206.542954, 39.726, -94.7607
206.909164, 36.255, 17.0999
207.275375, 42.085, 24.3684
207.641586, 42.580, 31.5449
208.007797, 44.321, 56.2266
208.374008, 49.063, 65.2805
208.740219, 53.036, 56.3679
209.106430, 55.733, 40.4502
209.472641, 57.437, 21.8564
209.838852, 58.379, 2.4146
210.205063, 58.712, -16.7856
210.571274, 58.552, -34.8518
210.937484, 58.012, -50.9177
211.303695, 57.237, -64.1716
211.669906, 56.428, -74.1079
212.036117, 55.815, -80.9187
212.402328, 55.564, -85.5488
212.768539, 55.729, -89.1333
213.134750, 56.309, -92.6355
213.500961, 57.260, -97.0957
213.867172, 58.446, -103.5225
214.233383, 59.649, -112.2876
214.599594, 60.661, -122.9507
214.965804, 61.350, -134.5774
215.332015, 61.666, -146.0422
215.698226, 61.651, -156.1921
216.064437, 61.462, -164.1367
216.430648, 61.362, -169.9771
216.796859, 61.548, -175.4619
217.163070, 61.918, 176.9983
217.529281, 62.121, 166.1711
217.895492, 61.771, 152.1333
218.261703, 60.444, 135.1904
218.627914, 57.374, 114.3582
218.994124, 50.005, 77.0671
219.360335, 50.696, -55.4189
219.726546, 59.241, -92.4600
220.092757, 63.546, -113.5156
220.458968, 66.152, -131.2295
220.825179, 67.795, -147.0508
221.191390, 68.799, -161.1621
221.557601, 69.365, -173.4531
221.923812, 69.650, 176.2217
222.290023, 69.804, 167.8604
222.656234, 69.967, 161.1348
223.022444, 70.235, 155.3296
223.388655, 70.631, 149.5342
223.754866, 71.097, 143.0122
224.121077, 71.541, 135.4346
224.487288, 71.875, 126.8550
224.853499, 72.036, 117.5586
225.219710, 71.991, 107.9287
225.585921, 71.726, 98.3613
225.952132, 71.250, 89.2183
226.318343, 70.583, 80.7930
226.684554, 69.759, 73.2891
227.050764, 68.813, 66.8086
227.416975, 67.780, 61.3662
227.783186, 66.681, 56.9346
228.149397, 65.521, 53.5229
228.515608, 64.288, 51.3018
228.881819, 62.978, 50.7783
229.248030, 61.658, 52.9106
229.614241, 60.602, 58.5547
229.980452, 60.269, 66.3896
230.346663, 60.788, 72.0088
230.712873, 61.664, 72.1748
231.079084, 62.342, 67.1021
231.445295, 62.516, 58.3335
231.811506, 62.024, 47.3057
232.177717, 60.717, 35.1777
232.543928, 58.336, 23.0903
232.910139, 54.246, 12.9746
233.276350, 46.110, 14.3354
233.642561, 42.758, 124.3071
234.008772, 51.340, 137.1069
234.374983, 54.933, 133.4268
234.741193, 56.963, 129.2861
235.107404, 58.389, 125.7793
235.473615, 59.576, 122.1880
235.839826, 60.603, 117.6675
236.206037, 61.430, 111.9316
236.572248, 62.002, 105.1992
236.938459, 62.299, 97.8809
237.304670, 62.319, 90.3652
237.670881, 62.066, 82.9688
238.037092, 61.537, 75.9824
238.403303, 60.723, 69.7676
238.769513, 59.620, 64.8306
239.135724, 58.256, 61.8354
239.501935, 56.720, 61.4463
239.868146, 55.154, 63.9517
240.234357, 53.685, 68.9937
240.600568, 52.313, 76.1909
240.966779, 51.014, 86.4482
241.332990, 50.117, 101.5967
241.699201, 50.386, 119.7139
242.065412, 51.857, 133.7144
242.431623, 53.653, 140.8174
242.797833, 55.204, 143.1978
243.164044, 56.386, 143.3076
243.530255, 57.243, 142.7104
243.896466, 57.865, 142.2920
244.262677, 58.352, 142.5093
244.628888, 58.801, 143.5142
244.995099, 59.299, 145.1934
245.361310, 59.911, 147.1953
245.727521, 60.662, 149.0283
246.093732, 61.535, 150.2339
246.459943, 62.485, 150.5200
246.826153, 63.460, 149.7856
247.192364, 64.419, 148.0708
247.558575, 65.327, 145.4980
247.924786, 66.167, 142.2290
248.290997, 66.933, 138.4194
248.657208, 67.631, 134.1694
249.023419, 68.268, 129.4858
249.389630, 68.842, 124.2930
249.755841, 69.335, 118.4971
250.122052, 69.713, 112.0791
250.488263, 69.934, 105.1597
250.854473, 69.965, 98.0137
251.220684, 69.789, 91.0366
251.586895, 69.419, 84.6797
251.953106, 68.899, 79.3389
252.319317, 68.301, 75.2212
252.685528, 67.693, 72.2393
253.051739, 67.111, 70.0962
253.417950, 66.545, 68.5796
253.784161, 65.977, 67.8066
254.150372, 65.445, 68.1152
254.516582, 65.063, 69.5396
254.882793, 64.947, 71.3037
255.249004, 65.078, 72.1323
255.615215, 65.299, 71.2681
255.981426, 65.437, 68.9150
256.347637, 65.408, 65.8311
256.713848, 65.222, 62.7578
257.080059, 64.948, 60.0181
257.446270, 64.639, 57.3809
257.812481, 64.271, 54.3555
258.178692, 63.722, 50.7651
258.544902, 62.836, 47.1929
258.911113, 61.490, 45.2285
259.277324, 59.729, 47.7812
259.643535, 58.147, 58.3433
260.009746, 58.000, 74.3618
260.375957, 59.322, 85.2578
260.742168, 60.870, 88.1504
261.108379, 62.037, 86.3701
261.474590, 62.755, 82.7085
261.840801, 63.107, 78.7100
262.207012, 63.200, 75.1475
262.573222, 63.135, 72.3374
262.939433, 62.991, 70.3179
263.305644, 62.832, 68.9634
263.671855, 62.697, 68.0469
264.038066, 62.606, 67.2842
264.404277, 62.550, 66.4082
264.770488, 62.499, 65.2705
265.136699, 62.420, 63.9048
265.502910, 62.294, 62.4858
265.869121, 62.127, 61.2041
266.235332, 61.946, 60.1338
266.601542, 61.778, 59.1641
266.967753, 61.625, 58.0693
267.333964, 61.465, 56.6616
267.700175, 61.261, 54.9126
268.066386, 60.987, 52.9526
268.432597, 60.639, 50.9565
268.798808, 60.236, 48.9888
269.165019, 59.796, 46.8872
269.531230, 59.305, 44.2759
269.897441, 58.691, 40.7222
270.263652, 57.817, 35.9331
270.629862, 56.476, 29.8335
270.996073, 54.333, 22.4897
271.362284, 50.665, 13.8472
271.728495, 42.612, 1.7534
272.094706, 39.100, -170.9722
272.460917, 49.997, 173.7832
272.827128, 54.551, 164.4624
273.193339, 57.301, 156.2266
273.559550, 59.138, 148.7852
273.925761, 60.416, 142.1909
274.291972, 61.329, 136.5562
274.658182, 62.019, 131.9478
275.024393, 62.607, 128.2637
275.390604, 63.185, 125.1479
275.756815, 63.794, 122.0479
276.123026, 64.413, 118.4414
276.489237, 64.982, 114.0630
276.855448, 65.437, 108.9468
277.221659, 65.735, 103.3306
277.587870, 65.859, 97.5181
277.954081, 65.815, 91.7866
278.320291, 65.618, 86.3433
278.686502, 65.286, 81.3325
279.052713, 64.830, 76.8848
279.418924, 64.263, 73.1704
279.785135, 63.606, 70.4136
280.151346, 62.906, 68.8164
280.517557, 62.235, 68.3940
280.883768, 61.666, 68.8237
281.249979, 61.233, 69.4858
281.616190, 60.907, 69.7417
281.982401, 60.624, 69.1665
282.348611, 60.314, 67.5000
282.714822, 59.900, 64.4297
283.081033, 59.264, 59.4385
283.447244, 58.192, 51.6958
283.813455, 56.293, 39.5146
284.179666, 52.838, 17.0801
284.545877, 48.687, -43.0215
284.912088, 53.845, -112.5054
285.278299, 59.408, -141.1924
285.644510, 63.140, -159.8721
286.010721, 65.736, -175.7334
286.376931, 67.551, 169.6211
286.743142, 68.763, 155.8047
287.109353, 69.477, 142.8237
287.475564, 69.762, 130.8608
287.841775, 69.680, 120.1963
288.207986, 69.293, 111.1504
288.574197, 68.681, 104.0059
288.940408, 67.932, 98.9062
289.306619, 67.133, 95.7803
289.672830, 66.344, 94.4214
290.039041, 65.596, 94.7231
290.405251, 64.936, 96.8242
290.771462, 64.489, 100.7861
291.137673, 64.422, 105.8794
291.503884, 64.789, 110.4482
291.870095, 65.436, 113.0537
292.236306, 66.136, 113.4175
292.602517, 66.732, 112.1172
292.968728, 67.166, 109.9321
293.334939, 67.444, 107.4956
293.701150, 67.603, 105.2046
294.067361, 67.685, 103.2461
294.433571, 67.728, 101.6709
294.799782, 67.761, 100.4565
295.165993, 67.809, 99.5322
295.532204, 67.888, 98.7700
295.898415, 68.003, 97.9995
296.264626, 68.144, 97.0713
296.630837, 68.291, 95.9248
296.997048, 68.433, 94.5874
297.363259, 68.569, 93.0913
297.729470, 68.708, 91.3784
298.095681, 68.844, 89.2817
298.461891, 68.945, 86.6318
298.828102, 68.952, 83.4175
299.194313, 68.801, 79.8936
299.560524, 68.450, 76.5957
299.926735, 67.903, 74.2769
300.292946, 67.240, 73.7305
300.659157, 66.640, 75.3721
301.025368, 66.317, 78.6123
301.391579, 66.363, 81.8286
301.757790, 66.655, 83.5244
302.124000, 66.979, 83.3120
302.490211, 67.173, 81.6875
302.856422, 67.165, 79.4321
303.222633, 66.944, 77.2881
303.588844, 66.539, 75.8823
303.955055, 66.010, 75.7344
304.321266, 65.446, 77.2319
304.687477, 64.975, 80.4888
305.053688, 64.736, 85.1030
305.419899, 64.812, 90.1084
305.786110, 65.174, 94.4097
306.152320, 65.707, 97.3687
306.518531, 66.293, 98.9297
306.884742, 66.854, 99.3525
307.250953, 67.352, 98.9482
307.617164, 67.773, 97.9727
307.983375, 68.109, 96.6353
308.349586, 68.360, 95.1353
308.715797, 68.533, 93.6748
309.082008, 68.649, 92.4307
309.448219, 68.739, 91.4917
309.814430, 68.836, 90.8154
310.180640, 68.960, 90.2368
310.546851, 69.109, 89.5493
310.913062, 69.258, 88.6147
311.279273, 69.377, 87.4326
311.645484, 69.438, 86.1411
312.011695, 69.433, 84.9731
312.377906, 69.376, 84.1802
312.744117, 69.305, 83.9409
313.110328, 69.275, 84.2617
313.476539, 69.333, 84.9253
313.842750, 69.497, 85.5542
314.208960, 69.750, 85.7803
314.575171, 70.049, 85.3975
314.941382, 70.348, 84.3843
315.307593, 70.615, 82.8276
315.673804, 70.832, 80.8306
316.040015, 70.984, 78.4727
316.406226, 71.056, 75.8267
316.772437, 71.029, 73.0059
317.138648, 70.883, 70.2026
317.504859, 70.611, 67.6948
317.871070, 70.224, 65.8159
318.237280, 69.757, 64.8853
318.603491, 69.270, 65.1128
318.969702, 68.837, 66.4976
319.335913, 68.525, 68.7837
319.702124, 68.369, 71.5352
