* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:29:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: LEFT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
182.006823, 59.538, -58.4824
182.373034, 59.389, -60.5562
182.739245, 59.475, -60.2065
183.105455, 60.179, -59.6738
183.471666, 61.377, -62.5493
183.837877, 62.603, -70.0100
184.204088, 63.513, -81.0217
184.570299, 63.963, -94.1003
184.936510, 63.917, -107.9548
185.302721, 63.393, -121.4656
185.668932, 62.459, -133.5676
186.035143, 61.247, -143.2932
186.401354, 59.981, -150.1738
186.767565, 58.891, -154.8816
187.133775, 58.031, -159.0334
187.499986, 57.216, -163.6323
187.866197, 56.227, -168.0181
188.232408, 55.042, -170.3237
188.598619, 53.973, -169.0054
188.964830, 53.513, -165.4517
189.331041, 53.687, -163.7646
189.697252, 53.971, -165.7039
190.063463, 53.935, -169.5208
190.429674, 53.505, -172.2031
190.795885, 52.992, -171.0557
191.162095, 53.051, -166.2642
191.528306, 53.997, -162.5652
191.894517, 55.331, -163.7070
192.260728, 56.484, -169.0981
192.626939, 57.225, -176.6174
192.993150, 57.543, 175.6680
193.359361, 57.560, 169.2683
193.725572, 57.501, 165.0332
194.091783, 57.641, 162.5186
194.457994, 58.092, 159.9419
194.824205, 58.688, 155.7312
195.190415, 59.154, 149.8953
195.556626, 59.318, 143.8132
195.922837, 59.219, 139.5061
196.289048, 59.197, 138.5486
196.655259, 59.793, 139.7341
197.021470, 61.136, 138.6760
197.387681, 62.744, 132.6221
197.753892, 64.137, 122.1880
198.120103, 65.097, 109.0432
198.486314, 65.564, 94.6489
198.852525, 65.537, 80.1621
199.218735, 65.050, 66.6013
199.584946, 64.175, 54.9761
199.951157, 63.054, 46.2629
200.317368, 61.927, 41.0596
200.683579, 61.096, 38.9226
201.049790, 60.763, 38.1873
201.416001, 60.934, 36.9534
201.782212, 61.500, 33.9358
202.148423, 62.326, 28.3303
202.514634, 63.254, 19.6931
202.880845, 64.120, 8.0574
203.247055, 64.794, -6.1436
203.613266, 65.200, -22.3201
203.979477, 65.305, -39.9131
204.345688, 65.107, -58.4746
204.711899, 64.625, -77.6797
205.078110, 63.886, -97.3083
205.444321, 62.920, -117.2195
205.810532, 61.738, -137.3179
206.176743, 60.319, -157.5183
206.542954, 58.591, -177.6912
206.909164, 56.416, 162.4414
207.275375, 53.557, 143.5793
207.641586, 49.605, 127.8162
208.007797, 43.898, 123.4348
208.374008, 39.248, 158.1785
208.740219, 42.572, -179.5200
209.106430, 44.811, 171.4753
209.472641, 44.916, 155.5579
209.838852, 42.879, 140.3491
210.205063, 37.496, 138.0112
210.571274, 34.932, -153.5688
210.937484, 42.819, -139.2637
211.303695, 46.977, -152.1707
211.669906, 49.207, -169.4224
212.036117, 50.291, 172.0762
212.402328, 50.555, 152.9858
212.768539, 50.137, 133.2100
213.134750, 49.065, 112.0166
213.500961, 47.299, 87.5942
213.867172, 44.928, 55.8672
214.233383, 43.064, 11.3506
214.599594, 43.811, -36.3315
214.965804, 45.887, -69.6611
215.332015, 47.480, -90.2441
215.698226, 48.406, -101.6543
216.064437, 49.176, -105.0088
216.430648, 50.563, -103.4287
216.796859, 52.731, -103.2656
217.163070, 55.084, -107.7646
217.529281, 57.128, -115.9336
217.895492, 58.696, -125.8940
218.261703, 59.786, -136.1494
218.627914, 60.466, -145.6016
218.994124, 60.855, -153.4805
219.360335, 61.120, -159.4775
219.726546, 61.426, -163.9819
220.092757, 61.847, -167.9507
220.458968, 62.319, -172.1768
220.825179, 62.718, -176.6191
221.191390, 62.988, 179.5708
221.557601, 63.222, 177.4502
221.923812, 63.677, 177.2192
222.290023, 64.582, 177.2710
222.656234, 65.872, 175.1826
223.022444, 67.247, 169.8555
223.388655, 68.447, 161.7588
223.754866, 69.342, 151.9302
224.121077, 69.902, 141.3779
224.487288, 70.146, 130.9326
224.853499, 70.128, 121.2422
225.219710, 69.925, 112.7681
225.585921, 69.631, 105.7520
225.952132, 69.352, 100.1787
226.318343, 69.189, 95.7358
226.684554, 69.226, 91.7905
227.050764, 69.490, 87.4302
227.416975, 69.930, 81.7012
227.783186, 70.424, 73.9590
228.149397, 70.822, 64.0439
228.515608, 70.993, 52.1855
228.881819, 70.837, 38.8179
229.248030, 70.276, 24.4497
229.614241, 69.248, 9.6362
229.980452, 67.683, -4.9819
230.346663, 65.499, -18.5469
230.712873, 62.578, -29.6782
231.079084, 58.782, -35.6523
231.445295, 54.199, -30.2603
231.811506, 50.643, -5.1460
232.177717, 50.839, 22.3354
232.543928, 52.291, 35.1890
232.910139, 53.496, 40.2466
233.276350, 54.399, 41.3169
233.642561, 54.945, 39.6484
234.008772, 55.029, 36.6963
234.374983, 54.637, 34.5825
234.741193, 53.994, 35.6802
235.107404, 53.656, 40.8760
235.473615, 54.148, 46.8633
235.839826, 55.243, 48.9326
236.206037, 56.348, 46.2275
236.572248, 57.129, 40.4077
236.938459, 57.510, 33.2271
237.304670, 57.534, 25.9810
237.670881, 57.309, 19.5562
238.037092, 56.988, 14.4043
238.403303, 56.753, 10.3315
238.769513, 56.736, 6.3735
239.135724, 56.939, 1.2139
239.501935, 57.240, -6.0430
239.868146, 57.484, -15.5474
240.234357, 57.561, -26.9268
240.600568, 57.420, -39.6016
240.966779, 57.061, -52.9614
241.332990, 56.528, -66.4263
241.699201, 55.899, -79.4966
242.065412, 55.270, -91.8145
242.431623, 54.718, -103.2144
242.797833, 54.272, -113.6499
243.164044, 53.899, -122.9609
243.530255, 53.554, -130.6387
243.896466, 53.265, -135.8521
244.262677, 53.212, -138.0366
244.628888, 53.671, -138.0674
244.995099, 54.733, -138.4600
245.361310, 56.155, -141.2642
245.727521, 57.611, -146.6606
246.093732, 58.911, -153.7715
246.459943, 59.993, -161.6406
246.826153, 60.874, -169.5962
247.192364, 61.599, -177.2979
247.558575, 62.214, 175.3252
247.924786, 62.748, 168.1978
248.290997, 63.208, 161.2485
248.657208, 63.590, 154.5166
249.023419, 63.904, 148.1426
249.389630, 64.178, 142.2524
249.755841, 64.464, 136.7871
250.122052, 64.800, 131.4014
250.488263, 65.183, 125.5737
250.854473, 65.553, 118.8809
251.220684, 65.822, 111.2261
251.586895, 65.911, 102.8691
251.953106, 65.770, 94.3193
252.319317, 65.398, 86.2002
252.685528, 64.850, 79.0723
253.051739, 64.230, 73.1611
253.417950, 63.651, 68.0542
253.784161, 63.137, 62.7397
254.150372, 62.567, 56.2227
254.516582, 61.706, 48.1758
254.882793, 60.257, 39.1089
255.249004, 57.805, 30.5210
255.615215, 53.551, 26.9136
