* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:37:38
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_SUB_LEWO
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
127.075187, 63.313, -106.4141
127.441398, 58.209, -103.5972
127.807608, 56.760, -74.8369
128.173819, 59.321, -69.2444
128.540030, 60.654, -81.0969
128.906241, 60.493, -96.3552
129.272452, 59.133, -108.0000
129.638663, 57.309, -108.4443
130.004874, 57.284, -97.4575
130.371085, 59.415, -94.1274
130.737296, 61.345, -101.8745
131.103507, 62.248, -113.5190
131.469718, 62.127, -123.5156
131.835928, 61.413, -126.6238
132.202139, 61.452, -120.7117
132.568350, 63.249, -116.1704
132.934561, 65.508, -121.1228
133.300772, 67.108, -132.2151
133.666983, 67.751, -144.7427
134.033194, 67.430, -154.2649
134.399405, 66.602, -154.8828
134.765616, 67.075, -144.8047
135.131827, 69.796, -139.7139
135.498037, 72.821, -147.0083
135.864248, 75.142, -161.4270
136.230459, 76.664, -178.9128
136.596670, 77.456, 162.7112
136.962881, 77.594, 144.9202
137.329092, 77.179, 129.1060
137.695303, 76.415, 116.7170
138.061514, 75.716, 108.4417
138.427725, 75.571, 102.2083
138.793936, 76.000, 93.6753
139.160147, 76.524, 80.4958
139.526357, 76.710, 63.1333
139.892568, 76.332, 42.8281
140.258779, 75.269, 20.6033
140.624990, 73.412, -2.7937
140.991201, 70.583, -26.6348
141.357412, 66.426, -49.5056
141.723623, 60.096, -65.7053
142.089834, 52.319, -39.0447
142.456045, 56.428, -11.6396
142.822256, 59.881, -33.9194
143.188467, 61.844, -65.6499
143.554677, 63.278, -97.4902
143.920888, 64.374, -125.5325
144.287099, 65.121, -148.3438
144.653310, 65.589, -165.8708
145.019521, 65.949, -179.0415
145.385732, 66.326, 170.3318
145.751943, 66.662, 160.4170
146.118154, 66.758, 150.5464
146.484365, 66.432, 141.5359
146.850576, 65.643, 135.4956
147.216787, 64.692, 135.4182
147.582997, 64.487, 141.9482
147.949208, 65.698, 148.0186
148.315419, 67.574, 147.0051
148.681630, 69.237, 139.6926
149.047841, 70.375, 128.6621
149.414052, 70.922, 115.6653
149.780263, 70.860, 101.7930
150.146474, 70.157, 87.9194
150.512685, 68.741, 75.1162
150.878896, 66.503, 65.2771
151.245107, 63.398, 62.5664
151.611317, 60.265, 74.8137
151.977528, 59.865, 97.3567
152.343739, 61.462, 107.7759
152.709950, 62.622, 108.5103
153.076161, 63.042, 107.5256
153.442372, 63.156, 108.5945
153.808583, 63.533, 111.4402
154.174794, 64.349, 112.7119
154.541005, 65.243, 110.1902
154.907216, 65.810, 104.4583
155.273427, 65.841, 97.2827
155.639637, 65.264, 90.6741
156.005848, 64.120, 87.0022
156.372059, 62.706, 89.0876
156.738270, 61.810, 97.8301
157.104481, 62.088, 107.5955
157.470692, 62.952, 112.3713
