* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:30:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: RIGHT_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
141.723623, 49.028, -107.0876
142.089834, 39.292, 79.1169
142.456045, 48.433, 17.3606
142.822256, 51.020, -32.1150
143.188467, 53.117, -79.4094
143.554677, 55.158, -117.4902
143.920888, 56.654, -145.3772
144.287099, 57.604, -164.5608
144.653310, 58.394, -176.9141
145.019521, 59.395, 174.1060
145.385732, 60.535, 164.6296
145.751943, 61.438, 153.1838
146.118154, 61.799, 140.5732
146.484365, 61.477, 128.5706
146.850576, 60.470, 119.6287
147.216787, 59.054, 117.1118
147.582997, 58.168, 122.9692
147.949208, 58.820, 130.5337
148.315419, 60.352, 131.1340
148.681630, 61.717, 125.1028
149.047841, 62.551, 115.4993
149.414052, 62.807, 104.4075
149.780263, 62.495, 93.1194
150.146474, 61.619, 82.7031
150.512685, 60.185, 74.4587
150.878896, 58.274, 70.2908
151.245107, 56.231, 72.4705
151.611317, 54.796, 80.9041
151.977528, 54.387, 90.3442
152.343739, 54.476, 96.9954
152.709950, 54.636, 102.5049
153.076161, 55.082, 108.5466
153.442372, 56.111, 112.9475
153.808583, 57.449, 112.4866
154.174794, 58.571, 106.8613
154.541005, 59.143, 97.6008
154.907216, 58.999, 86.3198
155.273427, 58.002, 74.3843
155.639637, 55.915, 63.2942
156.005848, 52.187, 56.0569
156.372059, 45.432, 66.5913
156.738270, 43.702, 142.8699
157.104481, 50.141, 164.5286
157.470692, 53.731, 166.5903
157.836903, 56.263, 166.6389
158.203114, 58.542, 165.1389
158.569325, 60.643, 160.6060
158.935536, 62.350, 152.9846
159.301746, 63.484, 143.5415
159.667957, 63.979, 134.0999
160.034168, 63.894, 126.8347
160.400379, 63.534, 123.9546
160.766590, 63.528, 125.5955
161.132801, 64.284, 127.3694
161.499012, 65.336, 125.1243
161.865223, 66.016, 119.7717
162.231434, 66.056, 115.2656
162.597645, 65.810, 116.6914
162.963856, 66.598, 124.9290
163.330066, 69.078, 129.1418
163.696277, 71.934, 123.0667
164.062488, 74.263, 109.8577
164.428699, 75.885, 92.8235
164.794910, 76.820, 73.8242
165.161121, 77.107, 53.9373
165.527332, 76.767, 33.9355
