* Measurement data measured by REW V5.20.9
* Source: Analog (1+2) (RME Fireface UFX), LINE_IN (G?o?no?? g?), L, volume: 1,000
* Format: 256k Log Swept Sine, 4 sweeps at -18,0 dBFS with no timing reference
* Dated: 11-Oct-2023 12:31:03
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: SUMA_GR1
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
192.260728, 62.282, -166.1602
192.626939, 63.747, -172.8572
192.993150, 64.754, 178.8245
193.359361, 65.373, 170.3193
193.725572, 65.703, 162.4963
194.091783, 65.860, 155.8147
194.457994, 65.965, 150.2791
194.824205, 66.093, 145.4575
195.190415, 66.237, 140.8320
195.556626, 66.328, 136.3459
195.922837, 66.322, 132.6704
196.289048, 66.326, 130.8489
196.655259, 66.636, 131.0696
197.021470, 67.529, 131.2717
197.387681, 68.886, 128.4119
197.753892, 70.306, 121.3210
198.120103, 71.467, 110.7295
198.486314, 72.212, 97.8936
198.852525, 72.482, 83.9773
199.218735, 72.263, 70.0327
199.584946, 71.571, 57.1462
199.951157, 70.475, 46.5791
200.317368, 69.173, 39.6538
200.683579, 68.050, 36.7937
201.049790, 67.506, 35.8816
201.416001, 67.499, 33.2458
201.782212, 67.609, 27.2310
202.148423, 67.495, 18.5540
202.514634, 67.024, 8.5933
202.880845, 66.199, -1.5044
203.247055, 65.089, -11.0835
203.613266, 63.754, -20.0955
203.979477, 62.165, -29.0068
204.345688, 60.107, -38.2949
204.711899, 57.073, -47.5544
205.078110, 51.827, -52.8237
205.444321, 41.954, -7.9541
205.810532, 50.115, 55.7622
206.176743, 55.122, 49.8728
206.542954, 57.356, 37.2212
206.909164, 58.114, 24.0439
207.275375, 57.871, 12.9421
207.641586, 57.017, 6.5430
208.007797, 56.273, 6.7388
208.374008, 56.561, 10.0862
208.740219, 57.783, 9.0271
209.106430, 59.087, 1.4741
209.472641, 60.008, -10.5247
209.838852, 60.469, -24.9670
210.205063, 60.523, -40.6433
210.571274, 60.254, -56.9294
210.937484, 59.723, -73.6106
211.303695, 58.949, -90.7710
211.669906, 57.876, -108.6709
212.036117, 56.364, -127.6174
212.402328, 54.150, -147.9355
212.768539, 50.676, -170.3003
213.134750, 44.211, 161.2542
